K_cap,k_low,sigma,NMI_max,NMI_min,NMI_avg,NMI_med,thining_coef,algo_choice,sparsity,num_elements,in_file,aff_type
75,22,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,22,0,0.462166211216,0.462166211216,0.462166211216,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
65,22,0,0.462166211216,0.456478115837,0.461028592141,0.462166211216,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
23,22,0,0.461987154507,0.461987154507,0.461987154507,0.461987154507,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
40,-1,1.1,0.461861002852,0.45376413687,0.460241629656,0.461861002852,10,3,0,2510,./proteins/nsp1_sparse/,plain_aff
40,22,0,0.461548689254,0.461548689254,0.461548689254,0.461548689254,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,22,0,0.461548595822,0.461548595822,0.461548595822,0.461548595822,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
75,24,0,0.461500846695,0.45862948246,0.459203755307,0.45862948246,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
70,24,0,0.461500846695,0.461500846695,0.461500846695,0.461500846695,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
50,45,0,0.461236301655,0.460250466883,0.460447633838,0.460250466883,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
21,17,0,0.461138427714,0.461138427714,0.461138427714,0.461138427714,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
25,24,0,0.460481324163,0.460477175951,0.460478005594,0.460477175951,10,1,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,22,0,0.460442079089,0.460442079089,0.460442079089,0.460442079089,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
30,24,0,0.460442079089,0.460442079089,0.460442079089,0.460442079089,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
11,-1,1.5,0.460377127686,0.460377127686,0.460377127686,0.460377127686,10,3,0,2510,./proteins/nsp1_sparse/,plain_aff
19,17,0,0.459575665369,0.459575665369,0.459575665369,0.459575665369,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,18,0,0.459575665369,0.459575665369,0.459575665369,0.459575665369,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
22,19,0,0.459575665369,0.459575665369,0.459575665369,0.459575665369,10,4,0,2510,./proteins/nsp1_sparse/,entropic_aff
